Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
YESBANK,EQ,2-Apr-19,275.9,278.2,282.05,274.8,282,280.3,278.16,"2,47,08,930","6,87,29,16,293.50","1,82,039","59,06,625",23.9
YESBANK,EQ,3-Apr-19,280.3,283.5,286,272.2,274,273.7,280.03,"3,18,08,834","8,90,74,70,186.50","1,97,853","94,13,985",29.6
YESBANK,EQ,4-Apr-19,273.7,274,275,265,268.3,268.05,268.73,"4,20,03,554","11,28,75,44,202.75","2,60,005","1,28,05,607",30.49
YESBANK,EQ,5-Apr-19,268.05,270,274,264.25,266.5,266.85,268.91,"2,83,19,923","7,61,55,58,714.15","2,10,219","90,04,795",31.8
YESBANK,EQ,8-Apr-19,266.85,267.1,268.1,258.25,260.7,260.05,263.18,"2,62,52,469","6,90,91,61,461.60","1,62,747","74,15,011",28.25
YESBANK,EQ,9-Apr-19,260.05,261.9,272,258.7,271.75,270.6,265.92,"3,91,95,173","10,42,25,93,057.95","2,72,721","70,66,531",18.03
YESBANK,EQ,10-Apr-19,270.6,272,275.45,267.5,268.55,268.25,271.29,"3,20,16,249","8,68,55,62,271.40","2,03,798","73,99,673",23.11
YESBANK,EQ,11-Apr-19,268.25,268.75,270.25,264,270.1,269.05,267.1,"2,03,63,799","5,43,90,76,351.50","1,41,611","30,58,266",15.02
YESBANK,EQ,12-Apr-19,269.05,269.7,271.9,265.8,267.5,267.9,268.28,"2,17,36,271","5,83,14,19,340.80","1,20,534","43,96,606",20.23
YESBANK,EQ,15-Apr-19,267.9,268.45,269.9,264.8,265.8,265.5,267.16,"1,35,09,220","3,60,90,76,620.35","1,14,555","33,52,737",24.82
YESBANK,EQ,16-Apr-19,265.5,267.55,269.2,265,265.9,266.45,266.89,"1,63,68,625","4,36,85,68,536.40","1,31,574","55,50,242",33.91
YESBANK,EQ,18-Apr-19,266.45,266.4,267.95,254.05,255.55,255.8,258.33,"3,24,91,440","8,39,33,96,382.95","2,07,697","96,20,624",29.61
YESBANK,EQ,22-Apr-19,255.8,253.95,254.4,237,238.1,238.35,244.15,"3,74,67,080","9,14,77,04,435.55","2,70,895","1,17,54,412",31.37
YESBANK,EQ,23-Apr-19,238.35,239,244.65,230.5,231,232.7,239.28,"4,32,32,834","10,34,49,08,884.20","2,75,123","1,01,95,966",23.58
YESBANK,EQ,24-Apr-19,232.7,233,240.4,231.2,238.55,239.15,235.33,"3,85,16,951","9,06,40,24,329.80","2,31,797","91,25,400",23.69
YESBANK,EQ,25-Apr-19,239.15,241,250.4,236.05,237.25,237.05,243.05,"7,16,41,179","17,41,20,45,875.10","3,76,119","2,13,53,446",29.81
YESBANK,EQ,26-Apr-19,237.05,239.9,240.35,232.1,237.8,237.2,236.9,"4,85,24,121","11,49,52,37,090.05","2,87,440","73,46,956",15.14
YESBANK,EQ,30-Apr-19,237.2,213.5,213.5,165.6,166.75,168,173.06,"21,72,19,923","37,59,16,03,607.15","12,95,397","7,24,48,317",33.35
YESBANK,EQ,2-May-19,168,162,178,160,174,173.75,172.73,"12,41,77,861","21,44,94,13,190.15","7,12,195","2,97,83,372",23.98
YESBANK,EQ,3-May-19,173.75,177,177.8,169.7,175.8,175.9,175.25,"5,89,53,903","10,33,18,89,494.00","3,59,177","1,36,98,320",23.24
YESBANK,EQ,6-May-19,175.9,168.05,171.9,165.5,167,166.25,168.49,"4,95,00,412","8,34,01,92,455.80","3,23,943","1,36,95,286",27.67
YESBANK,EQ,7-May-19,166.25,169,169.95,163.65,165.05,164.75,166.27,"4,04,46,604","6,72,49,18,865.25","2,62,090","1,03,00,397",25.47
YESBANK,EQ,8-May-19,164.75,165,166.5,160,161.4,160.75,162.27,"4,73,87,735","7,68,96,14,783.10","2,89,614","1,64,38,468",34.69
YESBANK,EQ,9-May-19,160.75,158,171.4,156.5,171.15,170.3,166.41,"8,86,53,903","14,75,31,06,734.60","4,80,980","1,44,08,456",16.25
YESBANK,EQ,10-May-19,170.3,172.75,174.25,162.8,164.4,163.85,168.46,"6,22,57,935","10,48,79,49,460.55","3,85,975","1,28,39,705",20.62
YESBANK,EQ,13-May-19,163.85,164.9,165.45,154,155.75,154.7,158.14,"6,08,84,255","9,62,83,87,984.40","3,91,341","1,88,58,964",30.98
YESBANK,EQ,14-May-19,154.7,155.1,158.9,151.4,156.95,155.85,155.02,"6,26,42,515","9,71,07,36,222.80","3,43,315","1,37,48,165",21.95
YESBANK,EQ,15-May-19,155.85,154.2,154.3,141.8,142.35,142.95,147.81,"9,58,99,314","14,17,47,78,342.90","6,13,726","3,08,38,155",32.16
YESBANK,EQ,16-May-19,142.95,144,145.9,134.65,138.2,137.75,139.43,"8,27,30,883","11,53,47,75,644.90","4,99,885","1,53,39,101",18.54
YESBANK,EQ,17-May-19,137.75,141,146,132.45,134.1,134.15,139.28,"11,79,40,438","16,42,70,42,108.45","6,35,680","2,31,23,434",19.61
YESBANK,EQ,20-May-19,134.15,142.5,144.9,137,143.7,143.55,141.44,"8,22,05,265","11,62,67,94,197.55","4,25,481","2,07,87,557",25.29
YESBANK,EQ,21-May-19,143.55,145,145,138.5,141.1,141,140.82,"5,94,99,614","8,37,84,74,710.80","2,90,808","1,27,86,149",21.49
YESBANK,EQ,22-May-19,141,141,141.25,135.5,138.9,137.55,137.79,"5,86,69,730","8,08,41,63,639.60","3,34,323","1,29,63,610",22.1
YESBANK,EQ,23-May-19,137.55,143.9,150.8,138.75,140.3,139.75,144.47,"11,17,19,246","16,14,04,21,284.20","5,67,175","2,29,17,508",20.51
YESBANK,EQ,24-May-19,139.75,141,142.9,139.5,141.1,141.2,141.06,"4,52,74,708","6,38,63,61,468.50","2,43,827","92,75,472",20.49
YESBANK,EQ,27-May-19,141.2,142,148.45,140.85,146.75,146.8,145.98,"6,72,58,367","9,81,83,08,858.00","3,26,661","1,61,27,246",23.98
